,Reactor_Type,Fuel_Enrichment,Core_Diameter,Core_Height,Number_of_Fuel_Assemblies,Fuel_Linear_Heat_Generation_Rate,Control_Rod_Assemblies,Coolant_Pressure,Outlet_Temperature,Thermal_Power,Gross_Electrical_Power
CALLAWAY-1,PWR,0.045,3.37,3.65,193,19.13,53,15.8,329,3565,1275
CALVERT CLIFFS-1,PWR,0.045,3.45,3.47,217,20.62,37,15.8,314,2737,918
CALVERT CLIFFS-2,PWR,0.045,3.45,3.47,217,20.56,37,15.8,314,2737,911
CATAWBA-1,PWR,0.045,3.37,3.66,193,18.3,25,15.8,325,3411,1188
CATAWBA-2,PWR,0.045,3.4,3.66,193,18.3,53,15.8,326,3411,1188
CLINTON-1,BWR,NA,4.3,3.81,624,18.85,145,7.3,288.3,3473,1098
COLUMBIA,BWR,0.045,4.75,3.81,764,43,185,7.17,287,3486,1190
COMANCHE PEAK-1,PWR,0.045,3.37,3.66,193,17.81,NA,15.7,325,3612,1250
COMANCHE PEAK-2,PWR,0.045,3.37,3.66,193,17.81,NA,15.7,325,3612,1250
COOK-1,PWR,0.045,3.37,3.66,193,21.98,28,14.76,306,3304,1131
COOK-2,PWR,0.045,3.37,3.66,193,17.81,28,15.82,319,3468,1231
COOPER,BWR,0.045,4.03,3.81,548,43.6,137,7.28,285,2419,801
DAVIS BESSE-1,PWR,0.045,2.9,3.57,177,21.1,28,15.5,321,2817,925
DIABLO CANYON-1,PWR,0.045,3.37,3.66,193,17.5,53,15.83,320,3411,1197
DIABLO CANYON-2,PWR,0.045,3.37,3.66,193,17.5,53,15.83,320,3411,1197
DRESDEN-2,BWR,NA,4.55,3.6,724,NA,NA,7.1,286,2957,950
DRESDEN-3,BWR,NA,4.55,3.6,724,NA,89,7.1,286,2957,935
FARLEY-1,PWR,0.045,3.02,3.66,157,17.1,45,15.8,322,2775,918
FARLEY-2,PWR,0.045,3.02,3.66,157,17.1,45,15.8,322,2775,928
FERMI-2,BWR,NA,4.75,3.8,764,37.73,185,7.3,286,3486,1198
FITZPATRICK,BWR,NA,3.26,3.81,560,19,137,7.06,287,2536,849
GINNA,PWR,0.045,2.46,3.59,121,19.02,17,15.82,317,1775,608
GRAND GULF-1,BWR,NA,4.8,3.81,800,19.5,193,7.31,288,4408,1500
HARRIS-1,PWR,0.045,3.03,3.66,157,NA,52,15.7,326,2900,980
HATCH-1,BWR,NA,4.27,3.81,560,18.4,137,7.07,279,2804,911
HATCH-2,BWR,NA,4.27,3.81,560,18.4,137,7.07,279,2804,921
HOPE CREEK-1,BWR,NA,4.8,3.81,764,17.52,185,7.17,287,3840,1240
LASALLE-1,BWR,NA,4.88,3.81,764,44,185,7.1,286,3546,1207
LASALLE-2,BWR,NA,4.88,3.81,764,44,185,7.1,286,3546,1207
LIMERICK-1,BWR,NA,4.55,3.71,764,16.4,185,7.1,282,3515,1194
LIMERICK-2,BWR,NA,4.55,3.71,764,16.4,185,7.1,282,3515,1194
MCGUIRE-1,PWR,0.045,3.37,3.66,193,18.3,25,15.8,325,3411,1215
MCGUIRE-2,PWR,0.045,3.4,3.7,193,18.3,25,15.8,325,3411,1215
MILLSTONE-2,PWR,0.045,3.45,3.66,157,18.5,49,15.8,312.7,2700,918
MILLSTONE-3,PWR,0.045,3.4,3.66,580,18.2,24,15.9,327,3650,1280
MONTICELLO,BWR,NA,3.96,3.66,484,39,121,7.17,285,2004,691
NINE MILE POINT-1,BWR,NA,4,3.7,532,15.5,129,7.13,285,1850,642
NINE MILE POINT-2,BWR,NA,4.75,3.81,764,17.68,185,7.17,287,3988,1320
NORTH ANNA-1,PWR,0.045,3.04,3.66,157,18.59,32,15.8,327,2940,990
NORTH ANNA-2,PWR,0.045,3.04,3.66,157,18.59,32,15.8,327,2940,1011
OCONEE-1,PWR,0.045,3.27,3.66,177,19,28,15.5,318,2568,891
OCONEE-2,PWR,0.045,3.27,3.66,177,19.06,28,15.5,318,2568,891
OCONEE-3,PWR,0.045,3.27,3.66,177,19.06,28,15.5,318,2568,900
PALO VERDE-1,PWR,0.04,3.65,3.81,241,18.14,76,15.8,327,3990,1414
PALO VERDE-2,PWR,0.04,3.65,3.81,241,18.27,76,15.8,327,3990,1414
PALO VERDE-3,PWR,0.04,3.65,3.81,241,18.37,76,15.8,327,3990,1414
PEACH BOTTOM-2,BWR,NA,4.57,3.71,764,16.37,185,7.1,287,3951,1412
PEACH BOTTOM-3,BWR,NA,4.75,3.81,764,18.24,185,7.1,287,3951,1412
PERRY-1,BWR,NA,4.65,3.81,748,19.85,177,7.31,285.5,3758,1303
POINT BEACH-1,PWR,0.045,2.44,3.66,121,18.7,21,15.7,316,1800,640
POINT BEACH-2,PWR,0.045,2.44,3.66,121,18.7,21,15.7,316,1800,640
PRAIRIE ISLAND-1,PWR,0.045,2.45,3.66,121,20.3,21,15.8,315,1677,566
PRAIRIE ISLAND-2,PWR,0.045,2.45,3.66,121,20.3,21,15.8,315,1677,560
QUAD CITIES-1,BWR,NA,4.55,3.6,724,43.96,177,7.1,286,2957,940
QUAD CITIES-2,BWR,NA,4.55,3.6,724,43.96,177,7.1,286,2957,940
RIVER BEND-1,BWR,NA,4.29,3.81,624,18.86,145,7.56,288,3091,1016
ROBINSON-2,PWR,NA,3.04,3.66,157,43.96,45,15.71,318,2339,780
SALEM-1,PWR,0.045,3.4,3.66,193,17.85,29,15.8,322,3459,1254
SALEM-2,PWR,0.045,3.4,3.66,193,17.85,29,15.8,322,3459,1254
SEABROOK-1,PWR,0.045,3.37,3.66,193,17.18,57,15.7,326,3648,1296
SEQUOYAH-1,PWR,0.045,3.37,3.65,193,17.85,29,15.82,322.4,3455,1221
SEQUOYAH-2,PWR,0.045,3.37,3.65,193,17.85,29,15.82,322.4,3455,1200
SOUTH TEXAS-1,PWR,0.045,3.37,4.27,193,17.03,29,15.7,330,3853,1354
SOUTH TEXAS-2,PWR,0.045,3.37,4.27,193,17.03,29,15.7,330,3853,1354
ST. LUCIE-1,PWR,0.045,3.45,3.47,217,19.4,73,15.5,314,3020,1045
ST. LUCIE-2,PWR,0.045,3.45,3.47,217,14.5,91,15.8,314,3020,1050
SUMMER-1,PWR,0.0495,3.04,3.66,157,17.83,NA,15.8,327,2900,1006
SURRY-1,PWR,0.043,3.035,3.66,157,21.6,32,15.8,318,2587,890
SURRY-2,PWR,0.043,3.035,3.66,157,21.6,32,15.8,318,2587,890
SUSQUEHANNA-1,BWR,NA,4.57,3.81,764,14.32,185,7.19,287,3952,1330
SUSQUEHANNA-2,BWR,NA,4.57,3.81,764,14.32,185,7.19,287,3952,1330
TURKEY POINT-3,PWR,0.05,3.04,3.66,157,18,29,15.7,338,2644,829
TURKEY POINT-4,PWR,0.05,3.04,3.66,157,18,29,15.7,338,2644,829
VOGTLE-1,PWR,0.045,3.4,3.66,193,17.8,53,15.82,325,3626,1229
VOGTLE-2,PWR,0.045,3.4,3.66,193,17.8,53,15.82,325,3626,1229
VOGTLE-3,PWR,NA,NA,NA,NA,NA,NA,NA,NA,3400,1250
WATERFORD-3,PWR,0.045,3.45,3.81,217,17.52,41,15.8,322,3716,1250
WATTS BAR-1,PWR,0.043,3.37,3.65,193,17.88,33,15.71,326,3459,1210
WATTS BAR-2,PWR,0.043,3.37,3.65,193,17.88,33,15.71,326,3411,1218
WOLF CREEK,PWR,0.035,6.3,5.94,22,17.85,53,15.8,326,3565,1285
